phase mean FPC1 FPC2 FPC3 FPC4
25.2 1.942124 0.176289 -0.00781 -0.067699 -0.193656
25.3 1.950255 0.176 -0.009712 -0.067175 -0.19386
25.4 1.958386 0.175686 -0.011595 -0.066648 -0.193865
25.5 1.966517 0.175371 -0.013478 -0.06612 -0.193869
25.6 1.974648 0.17505 -0.015355 -0.065592 -0.193816
25.7 1.982779 0.174704 -0.017213 -0.065059 -0.19356
25.8 1.990873 0.174357 -0.019071 -0.064526 -0.193303
25.9 1.998915 0.174006 -0.020923 -0.063991 -0.193002
26 2.006957 0.173634 -0.022751 -0.063446 -0.192526
26.1 2.015 0.173263 -0.02458 -0.062902 -0.192051
26.2 2.023042 0.172891 -0.026401 -0.062351 -0.191566
26.3 2.031085 0.172522 -0.028184 -0.061771 -0.191038
26.4 2.039047 0.172153 -0.029968 -0.061191 -0.19051
26.5 2.04687 0.171785 -0.031743 -0.060605 -0.189977
26.6 2.054694 0.171421 -0.033479 -0.059987 -0.189417
26.7 2.062517 0.171057 -0.035216 -0.059368 -0.188856
26.8 2.07034 0.170695 -0.036945 -0.058744 -0.188291
26.9 2.078163 0.170337 -0.038634 -0.058088 -0.187697
27 2.085916 0.169979 -0.040323 -0.057431 -0.187104
27.1 2.093506 0.169622 -0.042005 -0.056769 -0.186506
27.2 2.101095 0.169269 -0.043647 -0.056074 -0.18588
27.3 2.108685 0.168917 -0.045289 -0.055379 -0.185254
27.4 2.116275 0.168565 -0.046925 -0.054679 -0.184624
27.5 2.123865 0.168218 -0.04852 -0.053946 -0.183965
27.6 2.131398 0.167872 -0.050115 -0.053213 -0.183306
27.7 2.138754 0.167525 -0.051704 -0.052475 -0.182643
27.8 2.14611 0.167184 -0.053252 -0.051703 -0.181951
27.9 2.153467 0.166843 -0.054799 -0.050932 -0.18126
28 2.160823 0.166502 -0.056342 -0.050156 -0.180565
28.1 2.168179 0.166167 -0.057843 -0.049346 -0.17984
28.2 2.175493 0.165831 -0.059343 -0.048537 -0.179116
28.3 2.182616 0.165496 -0.06084 -0.047723 -0.178388
28.4 2.189739 0.165166 -0.062293 -0.046875 -0.177631
28.5 2.196861 0.164836 -0.063746 -0.046027 -0.176874
28.6 2.203984 0.164507 -0.065196 -0.045176 -0.176114
28.7 2.211107 0.164182 -0.066602 -0.044289 -0.175324
28.8 2.218202 0.163858 -0.068008 -0.043402 -0.174534
28.9 2.225091 0.163534 -0.069412 -0.042514 -0.173742
29 2.23198 0.163215 -0.070771 -0.041589 -0.172919
29.1 2.23887 0.162896 -0.072129 -0.040664 -0.172096
29.2 2.245759 0.162578 -0.073486 -0.039737 -0.171271
29.3 2.252648 0.162265 -0.074798 -0.038774 -0.170415
29.4 2.259523 0.161952 -0.07611 -0.03781 -0.16956
29.5 2.266179 0.161639 -0.07742 -0.036846 -0.168703
29.6 2.272835 0.161331 -0.078685 -0.035844 -0.167814
29.7 2.279491 0.161023 -0.079949 -0.034842 -0.166926
29.8 2.286147 0.160716 -0.081213 -0.03384 -0.166037
29.9 2.292803 0.160413 -0.082432 -0.032802 -0.165106
30 2.299459 0.160111 -0.083651 -0.031764 -0.164175
30.1 2.305863 0.159808 -0.08487 -0.030726 -0.163244
30.2 2.312268 0.159504 -0.08606 -0.029674 -0.162161
30.3 2.318672 0.1592 -0.087251 -0.028622 -0.161077
30.4 2.325077 0.158896 -0.088441 -0.02757 -0.159992
