phase mean FPC1 FPC2 FPC3 FPC4
30.5 0.702664 0.187897 -0.045743 -0.088191 -0.111547
30.6 0.706178 0.188391 -0.048036 -0.085416 -0.108229
30.7 0.709874 0.188885 -0.050329 -0.082642 -0.104911
30.8 0.713582 0.189347 -0.052446 -0.079879 -0.101645
30.9 0.71729 0.189809 -0.054556 -0.077116 -0.098381
31 0.720999 0.19027 -0.056666 -0.074353 -0.095117
31.1 0.724707 0.190699 -0.058603 -0.071601 -0.091905
31.2 0.728415 0.191127 -0.060531 -0.06885 -0.088695
31.3 0.732295 0.191555 -0.062458 -0.066099 -0.085486
31.4 0.736198 0.191952 -0.064215 -0.063358 -0.082327
31.5 0.740101 0.192347 -0.06596 -0.060618 -0.079171
31.6 0.744005 0.192742 -0.067705 -0.057879 -0.076016
31.7 0.747908 0.193107 -0.069282 -0.05515 -0.07291
31.8 0.751811 0.193469 -0.070844 -0.052422 -0.069809
31.9 0.755874 0.193831 -0.072406 -0.049693 -0.066708
32 0.759973 0.194162 -0.073803 -0.046976 -0.063655
32.1 0.764072 0.194491 -0.075183 -0.044259 -0.060608
32.2 0.76817 0.19482 -0.076562 -0.041543 -0.057561
32.3 0.772269 0.19512 -0.077779 -0.038836 -0.054562
32.4 0.776367 0.195415 -0.078976 -0.036131 -0.051569
32.5 0.780613 0.195711 -0.080173 -0.033426 -0.048577
32.6 0.784907 0.195978 -0.08121 -0.030731 -0.045631
32.7 0.789201 0.196241 -0.082224 -0.028038 -0.042692
32.8 0.793494 0.196503 -0.083238 -0.025345 -0.039754
32.9 0.797788 0.196738 -0.084095 -0.022661 -0.036862
33 0.802082 0.196967 -0.084927 -0.019979 -0.033977
33.1 0.806511 0.197197 -0.085758 -0.017297 -0.031093
33.2 0.811 0.197399 -0.086435 -0.014625 -0.028254
33.3 0.815489 0.197595 -0.087084 -0.011955 -0.025424
33.4 0.819978 0.197792 -0.087732 -0.009284 -0.022594
33.5 0.824467 0.197961 -0.08823 -0.006624 -0.019808
33.6 0.828956 0.198124 -0.088696 -0.003965 -0.017032
33.7 0.833564 0.198288 -0.089162 -0.001306 -0.014256
