phase mean FPC1 FPC2 FPC3 FPC4
34.3 1.362101 0.179707 -0.035352 0.135152 -0.024716
34.4 1.367544 0.179651 -0.034798 0.134258 -0.022108
34.5 1.372987 0.179596 -0.034247 0.133365 -0.019501
34.6 1.37843 0.179541 -0.033695 0.132472 -0.016894
34.7 1.383872 0.179492 -0.033154 0.131583 -0.01429
34.8 1.389315 0.179445 -0.032615 0.130695 -0.011688
34.9 1.394714 0.179398 -0.032077 0.129807 -0.009085
35 1.400071 0.179356 -0.031549 0.128922 -0.006486
35.1 1.405429 0.179317 -0.031023 0.128039 -0.003887
35.2 1.410786 0.179277 -0.030498 0.127156 -0.001289
