phase mean FPC1 FPC2 FPC3 FPC4
22.9 1.076316 -0.183602 -0.110812 0.104097 -0.200219
23 1.080125 -0.184643 -0.107946 0.103001 -0.19991
23.1 1.083933 -0.185678 -0.105066 0.101884 -0.199587
23.2 1.087742 -0.186702 -0.102156 0.100716 -0.199233
23.3 1.09155 -0.187701 -0.099188 0.099449 -0.198819
23.4 1.095347 -0.188701 -0.09622 0.098182 -0.198404
23.5 1.099137 -0.189671 -0.093178 0.096791 -0.197913
23.6 1.102928 -0.190635 -0.09012 0.095375 -0.197406
23.7 1.106719 -0.191587 -0.087035 0.093911 -0.196871
23.8 1.110509 -0.192515 -0.083889 0.092345 -0.196272
23.9 1.114289 -0.193444 -0.080742 0.090779 -0.195674
24 1.118061 -0.194343 -0.077525 0.089092 -0.195001
24.1 1.121834 -0.195235 -0.074289 0.087377 -0.194311
24.2 1.125606 -0.196117 -0.071028 0.085617 -0.193594
24.3 1.129379 -0.196973 -0.067704 0.083752 -0.192811
24.4 1.133141 -0.19783 -0.06438 0.081886 -0.192029
24.5 1.136896 -0.198659 -0.060986 0.079904 -0.191175
24.6 1.140651 -0.199479 -0.057573 0.077889 -0.190301
24.7 1.144405 -0.20029 -0.054136 0.075835 -0.189402
24.8 1.14816 -0.201075 -0.050634 0.07367 -0.188436
24.9 1.151905 -0.20186 -0.047132 0.071505 -0.187469
25 1.155642 -0.202618 -0.043563 0.069228 -0.186434
25.1 1.159379 -0.203367 -0.039972 0.066913 -0.185376
25.2 1.163116 -0.204108 -0.03636 0.064563 -0.184295
25.3 1.166852 -0.204821 -0.03268 0.062099 -0.183145
25.4 1.170581 -0.205534 -0.029 0.059635 -0.181995
25.5 1.174301 -0.206221 -0.025255 0.057062 -0.180778
25.6 1.178021 -0.206899 -0.021486 0.054448 -0.179536
25.7 1.181741 -0.20757 -0.017715 0.051823 -0.178262
25.8 1.185461 -0.208216 -0.013937 0.049159 -0.176869
25.9 1.189183 -0.208863 -0.010158 0.046494 -0.175476
26 1.192906 -0.209493 -0.006467 0.043909 -0.173909
26.1 1.19663 -0.210116 -0.002812 0.041358 -0.172267
26.2 1.200354 -0.210735 0.000819 0.038829 -0.170577
26.3 1.204077 -0.211336 0.004348 0.036395 -0.168685
26.4 1.207805 -0.211937 0.007877 0.033961 -0.166793
26.5 1.21154 -0.212522 0.011321 0.031606 -0.16473
26.6 1.215274 -0.2131 0.014724 0.029289 -0.162587
26.7 1.219009 -0.213674 0.018106 0.026991 -0.160402
26.8 1.222744 -0.214228 0.021383 0.024791 -0.158007
26.9 1.226482 -0.214783 0.02466 0.022591 -0.155613
27 1.230228 -0.215323 0.027854 0.020467 -0.153055
27.1 1.233973 -0.215855 0.031005 0.018384 -0.15041
27.2 1.237719 -0.216384 0.034138 0.016317 -0.14773
27.3 1.241465 -0.216893 0.037163 0.014351 -0.144833
27.4 1.245214 -0.217403 0.040188 0.012385 -0.141937
27.5 1.24897 -0.217898 0.043133 0.010492 -0.138884
27.6 1.252727 -0.218384 0.046032 0.008643 -0.135737
27.7 1.256484 -0.218868 0.048916 0.006808 -0.132561
27.8 1.260241 -0.219331 0.051689 0.005076 -0.129163
27.9 1.264 -0.219795 0.054461 0.003343 -0.125765
28 1.267768 -0.220244 0.057158 0.001682 -0.122215
28.1 1.271536 -0.220685 0.059805 6.7e-05 -0.118566
