phase mean FPC1 FPC2 FPC3 FPC4
27.8 1.316674 0.171712 -0.003546 0.034552 -0.250059
27.9 1.322673 0.171726 -0.005605 0.033693 -0.251251
28 1.328672 0.171737 -0.007656 0.032832 -0.252412
28.1 1.33467 0.171721 -0.009624 0.031956 -0.253288
28.2 1.340679 0.171704 -0.011591 0.03108 -0.254165
28.3 1.346734 0.171685 -0.013552 0.030203 -0.255014
28.4 1.352788 0.171638 -0.015428 0.029311 -0.255574
28.5 1.358843 0.171591 -0.017305 0.028419 -0.256134
28.6 1.364898 0.171542 -0.019175 0.027526 -0.256671
28.7 1.370952 0.171464 -0.020961 0.026619 -0.256914
28.8 1.377013 0.171387 -0.022746 0.025711 -0.257158
28.9 1.383124 0.171308 -0.024526 0.024802 -0.257384
29 1.389234 0.1712 -0.02622 0.023878 -0.257311
29.1 1.395344 0.171091 -0.027914 0.022953 -0.257237
29.2 1.401455 0.170982 -0.029605 0.022029 -0.257152
29.3 1.407565 0.170844 -0.031207 0.021088 -0.256762
29.4 1.413679 0.170705 -0.03281 0.020148 -0.256373
29.5 1.419845 0.170566 -0.034411 0.019207 -0.255975
29.6 1.426011 0.170397 -0.035922 0.018251 -0.255269
29.7 1.432177 0.170228 -0.037434 0.017295 -0.254563
29.8 1.438343 0.170058 -0.038944 0.016338 -0.253854
29.9 1.444509 0.169861 -0.040369 0.01537 -0.252834
30 1.450675 0.169664 -0.041793 0.014402 -0.251815
30.1 1.456756 0.169467 -0.043218 0.013434 -0.250795
30.2 1.462836 0.16927 -0.044608 0.012506 -0.249495
30.3 1.468916 0.169074 -0.045998 0.011579 -0.248193
30.4 1.474996 0.168877 -0.047389 0.010651 -0.246892
30.5 1.481076 0.16869 -0.048761 0.00978 -0.245324
30.6 1.487156 0.168504 -0.050134 0.00891 -0.243751
30.7 1.493023 0.168317 -0.051507 0.008039 -0.242178
30.8 1.498875 0.16814 -0.052862 0.007225 -0.240343
30.9 1.504728 0.167963 -0.054217 0.006412 -0.238499
31 1.51058 0.167786 -0.055572 0.005599 -0.236654
31.1 1.516433 0.167618 -0.05691 0.00484 -0.234552
31.2 1.522285 0.167451 -0.058247 0.004085 -0.232435
31.3 1.527938 0.167284 -0.059584 0.003329 -0.230319
31.4 1.533563 0.167126 -0.060905 0.002627 -0.227949
31.5 1.539188 0.166968 -0.062225 0.001929 -0.225562
31.6 1.544813 0.166811 -0.063544 0.001231 -0.223174
31.7 1.550438 0.166663 -0.064847 0.000586 -0.220536
31.8 1.556063 0.166515 -0.066149 -5.5e-05 -0.217877
31.9 1.561502 0.166368 -0.067451 -0.000696 -0.215218
32 1.566899 0.166229 -0.068737 -0.001285 -0.212313
32.1 1.572296 0.166091 -0.070021 -0.001869 -0.209382
32.2 1.577694 0.165953 -0.071305 -0.002452 -0.206451
32.3 1.583091 0.165824 -0.072574 -0.002985 -0.203279
32.4 1.588488 0.165696 -0.073841 -0.003511 -0.200077
32.5 1.593713 0.165568 -0.075107 -0.004037 -0.196874
32.6 1.598883 0.165449 -0.076358 -0.004513 -0.193435
32.7 1.604053 0.165331 -0.077607 -0.004982 -0.189961
32.8 1.609223 0.165212 -0.078856 -0.005451 -0.186487
32.9 1.614393 0.165103 -0.08009 -0.005871 -0.18278
33 1.619562 0.164994 -0.081321 -0.006283 -0.179034
33.1 1.624574 0.164886 -0.082552 -0.006694 -0.175289
33.2 1.629516 0.164786 -0.083768 -0.007057 -0.171314
33.3 1.634458 0.164687 -0.084982 -0.007412 -0.167297
33.4 1.6394 0.164589 -0.086195 -0.007766 -0.16328
33.5 1.644343 0.164498 -0.087394 -0.008073 -0.159038
33.6 1.649285 0.164409 -0.08859 -0.00837 -0.154749
33.7 1.654086 0.16432 -0.089786 -0.008666 -0.15046
33.8 1.658806 0.16424 -0.090968 -0.008917 -0.145952
33.9 1.663525 0.164161 -0.092146 -0.009157 -0.141393
34 1.668245 0.164082 -0.093324 -0.009397 -0.136834
34.1 1.672965 0.16401 -0.094471 -0.009646 -0.132227
